date,player_name,#NAME?,opponent,country,player_id,match_id,event_id,event_name,best_of,map_1,map_2,map_3,kills,assists,deaths,hs,flash_assists,kast,kddiff,adr,fkdiff,rating,m1_kills,m1_assists,m1_deaths,m1_hs,m1_flash_assists,m1_kast,m1_kddiff,m1_adr,m1_fkdiff,m1_rating,m2_kills,m2_assists,m2_deaths,m2_hs,m2_flash_assists,m2_kast,m2_kddiff,m2_adr,m2_fkdiff,m2_rating,m3_kills,m3_assists,m3_deaths,m3_hs,m3_flash_assists,m3_kast,m3_kddiff,m3_adr,m3_fkdiff,m3_rating,kills_ct,deaths_ct,kddiff_ct,adr_ct,kast_ct,rating_ct,kills_t,deaths_t,kddiff_t,adr_t,kast_t,rating_t,m1_kills_ct,m1_deaths_ct,m1_kddiff_ct,m1_adr_ct,m1_kast_ct,m1_rating_ct,m1_kills_t,m1_deaths_t,m1_kddiff_t,m1_adr_t,m1_kast_t,m1_rating_t,m2_kills_ct,m2_deaths_ct,m2_kddiff_ct,m2_adr_ct,m2_kast_ct,m2_rating_ct,m2_kills_t,m2_deaths_t,m2_kddiff_t,m2_adr_t,m2_kast_t,m2_rating_t,m3_kills_ct,m3_deaths_ct,m3_kddiff_ct,m3_adr_ct,m3_kast_ct,m3_rating_ct,m3_kills_t,m3_deaths_t,m3_kddiff_t,m3_adr_t,m3_kast_t,m3_rating_t,winner
2/26/2020,AZR,100 Thieves,TYLOO,Australia,8082,2339388,4901,IEM Katowice 2020,3,Inferno,Vertigo,,31,20,28,17,15,82.4,3,68.5,4,1.14,15,12,11,11,10,88,4,62.7,3,1.18,16,8,17,6,5,76.9,-1,74.1,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,18,-3,65.5,80.8,0.97,16,10,6,71.6,84,1.32,8,8,0,51.7,80,0.93,7,3,4,79.1,100,1.56,7,10,-3,84.4,81.8,1.03,9,7,2,66.6,73.3,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/26/2020,Gratisfaction,100 Thieves,TYLOO,New Zealand,9686,2339388,4901,IEM Katowice 2020,3,Inferno,Vertigo,,28,10,25,10,3,76.5,3,57.5,1,1.08,16,5,10,4,1,92,6,70.2,2,1.3,12,5,15,6,2,61.5,-3,45.3,-1,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,4,49.5,73.1,0.96,12,13,-1,65.9,80,1.2,13,6,7,80.7,93.3,1.43,3,4,-1,54.3,90,1.12,3,6,-3,6.8,45.5,0.45,9,9,0,73.6,73.3,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/26/2020,Liazz,100 Thieves,TYLOO,Australia,10588,2339388,4901,IEM Katowice 2020,3,Inferno,Vertigo,,43,10,25,21,0,86.3,18,95.5,5,1.48,18,5,10,9,0,88,8,86.8,2,1.4,25,5,15,12,0,84.6,10,103.9,3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14,6,102.9,88.5,1.37,23,11,12,87.8,84,1.59,6,8,-2,66.4,86.7,0.91,12,2,10,117.3,90,2.13,14,6,8,152.6,90.9,2.08,11,9,2,68.1,80,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/26/2020,jkaem,100 Thieves,TYLOO,Norway,8248,2339388,4901,IEM Katowice 2020,3,Inferno,Vertigo,,46,6,34,23,1,74.5,12,89.2,6,1.39,19,3,15,9,0,80,4,80.6,2,1.33,27,3,19,14,1,69.2,8,97.5,4,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,4,82.4,69.2,1.13,25,17,8,96.3,80,1.67,11,8,3,86.8,73.3,1.15,8,7,1,71.4,90,1.6,10,9,1,76.5,63.6,1.11,17,10,7,112.9,73.3,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/26/2020,jks,100 Thieves,TYLOO,Australia,4679,2339388,4901,IEM Katowice 2020,3,Inferno,Vertigo,,44,15,25,23,1,82.4,19,96.6,3,1.49,22,6,10,15,0,80,12,91.7,2,1.54,22,9,15,8,1,84.6,7,101.4,1,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,2,94.6,80.8,1.23,24,7,17,98.8,84,1.76,12,9,3,94.2,73.3,1.31,10,1,9,87.9,90,1.89,8,9,-1,95.1,90.9,1.14,14,6,8,106.1,80,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2/24/2020,AZR,100 Thieves,G2,Australia,8082,2339378,4901,IEM Katowice 2020,3,Mirage,Dust2,,12,3,35,8,2,40.5,-23,41.6,-4,0.37,5,1,17,3,0,31.6,-12,34.9,-1,0.31,7,2,18,5,2,50,-11,48.7,-3,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,-7,48.6,14.3,0.11,12,28,-16,40,46.7,0.43,0,4,-4,16.2,NA,0.02,5,13,-8,39.9,40,0.39,0,3,-3,91.7,33.3,0.31,7,15,-8,40.1,53.3,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2/24/2020,Gratisfaction,100 Thieves,G2,New Zealand,9686,2339378,4901,IEM Katowice 2020,3,Mirage,Dust2,,15,8,34,4,6,43.2,-19,44.9,-5,0.44,9,3,16,2,2,47.4,-7,47.3,-2,0.51,6,5,18,2,4,38.9,-12,42.5,-3,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,-6,43.3,42.9,0.19,14,27,-13,45.3,43.3,0.5,0,4,-4,45.2,50,0.24,9,12,-3,47.8,46.7,0.58,1,3,-2,40.7,33.3,0.22,5,15,-10,42.9,40,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2/24/2020,Liazz,100 Thieves,G2,Australia,10588,2339378,4901,IEM Katowice 2020,3,Mirage,Dust2,,12,11,35,6,4,54.1,-23,49.9,-6,0.55,7,5,18,2,1,57.9,-11,52.9,-3,0.62,5,6,17,4,3,50,-12,46.6,-3,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,-5,32.4,28.6,0.15,10,28,-18,53.9,60,0.64,1,4,-3,12.2,25,0.08,6,14,-8,63.8,66.7,0.77,1,3,-2,59.3,33.3,0.27,4,14,-10,44.1,53.3,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2/24/2020,jkaem,100 Thieves,G2,Norway,8248,2339378,4901,IEM Katowice 2020,3,Mirage,Dust2,,20,6,33,13,4,51.4,-13,64.4,1,0.78,13,1,16,7,1,57.9,-3,76.4,1,0.98,7,5,17,6,3,44.4,-10,51.8,0,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,94,71.4,1.07,14,27,-13,57.5,46.7,0.71,5,4,1,132.2,100,1.68,8,12,-4,61.5,46.7,0.8,1,2,-1,43,33.3,0.42,6,15,-9,53.5,46.7,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2/24/2020,jks,100 Thieves,G2,Australia,4679,2339378,4901,IEM Katowice 2020,3,Mirage,Dust2,,28,3,34,18,0,59.5,-6,84.1,-1,0.9,12,1,18,10,0,57.9,-6,75.2,0,0.76,16,2,16,8,0,61.1,0,93.4,-1,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,85,71.4,0.99,22,28,-6,83.8,56.7,0.87,5,4,1,123.8,75,1.46,7,14,-7,62.3,53.3,0.57,1,2,-1,33.3,66.7,0.47,15,14,1,105.4,60,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
