"","date","player_name","team","opponent","country","player_id","match_id","event_id","event_name","best_of","map_1","map_2","map_3","kills","assists","deaths","hs","flash_assists","kast","kddiff","adr","fkdiff","rating","m1_kills","m1_assists","m1_deaths","m1_hs","m1_flash_assists","m1_kast","m1_kddiff","m1_adr","m1_fkdiff","m1_rating","m2_kills","m2_assists","m2_deaths","m2_hs","m2_flash_assists","m2_kast","m2_kddiff","m2_adr","m2_fkdiff","m2_rating","m3_kills","m3_assists","m3_deaths","m3_hs","m3_flash_assists","m3_kast","m3_kddiff","m3_adr","m3_fkdiff","m3_rating","kills_ct","deaths_ct","kddiff_ct","adr_ct","kast_ct","rating_ct","kills_t","deaths_t","kddiff_t","adr_t","kast_t","rating_t","m1_kills_ct","m1_deaths_ct","m1_kddiff_ct","m1_adr_ct","m1_kast_ct","m1_rating_ct","m1_kills_t","m1_deaths_t","m1_kddiff_t","m1_adr_t","m1_kast_t","m1_rating_t","m2_kills_ct","m2_deaths_ct","m2_kddiff_ct","m2_adr_ct","m2_kast_ct","m2_rating_ct","m2_kills_t","m2_deaths_t","m2_kddiff_t","m2_adr_t","m2_kast_t","m2_rating_t","m3_kills_ct","m3_deaths_ct","m3_kddiff_ct","m3_adr_ct","m3_kast_ct","m3_rating_ct","m3_kills_t","m3_deaths_t","m3_kddiff_t","m3_adr_t","m3_kast_t","m3_rating_t","winner"
"1","2020-02-24","AZR","100 Thieves","G2","Australia",8082,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",12,3,35,8,2,40.5,-23,41.6,-4,0.37,5,1,17,3,0,31.6,-12,34.9,-1,0.31,7,2,18,5,2,50,-11,48.7,-3,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,-7,48.6,14.3,0.11,12,28,-16,40,46.7,0.43,0,4,-4,16.2,NA,0.02,5,13,-8,39.9,40,0.39,0,3,-3,91.7,33.3,0.31,7,15,-8,40.1,53.3,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","2020-02-24","Gratisfaction","100 Thieves","G2","New Zealand",9686,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",15,8,34,4,6,43.2,-19,44.9,-5,0.44,9,3,16,2,2,47.4,-7,47.3,-2,0.51,6,5,18,2,4,38.9,-12,42.5,-3,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,-6,43.3,42.9,0.19,14,27,-13,45.3,43.3,0.5,0,4,-4,45.2,50,0.24,9,12,-3,47.8,46.7,0.58,1,3,-2,40.7,33.3,0.22,5,15,-10,42.9,40,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","2020-02-24","Liazz","100 Thieves","G2","Australia",10588,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",12,11,35,6,4,54.1,-23,49.9,-6,0.55,7,5,18,2,1,57.9,-11,52.9,-3,0.62,5,6,17,4,3,50,-12,46.6,-3,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,-5,32.4,28.6,0.15,10,28,-18,53.9,60,0.64,1,4,-3,12.2,25,0.08,6,14,-8,63.8,66.7,0.77,1,3,-2,59.3,33.3,0.27,4,14,-10,44.1,53.3,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","2020-02-24","jkaem","100 Thieves","G2","Norway",8248,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",20,6,33,13,4,51.4,-13,64.4,1,0.78,13,1,16,7,1,57.9,-3,76.4,1,0.98,7,5,17,6,3,44.4,-10,51.8,0,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,94,71.4,1.07,14,27,-13,57.5,46.7,0.71,5,4,1,132.2,100,1.68,8,12,-4,61.5,46.7,0.8,1,2,-1,43,33.3,0.42,6,15,-9,53.5,46.7,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5","2020-02-24","jks","100 Thieves","G2","Australia",4679,2339378,4901,"IEM Katowice 2020",3,"Mirage","Dust2","",28,3,34,18,0,59.5,-6,84.1,-1,0.9,12,1,18,10,0,57.9,-6,75.2,0,0.76,16,2,16,8,0,61.1,0,93.4,-1,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,85,71.4,0.99,22,28,-6,83.8,56.7,0.87,5,4,1,123.8,75,1.46,7,14,-7,62.3,53.3,0.57,1,2,-1,33.3,66.7,0.47,15,14,1,105.4,60,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","2020-02-24","NiKo","FaZe","Natus Vincere","Bosnia and Herzegovina",3741,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",67,16,56,30,7,67.9,11,91.2,-2,1.17,22,8,20,11,2,80,2,91.6,-1,1.24,29,5,17,14,2,76.7,12,107.8,0,1.44,16,3,19,5,3,46.2,-3,71.6,-1,0.83,36,22,14,97.2,75,1.3,31,34,-3,85.3,61,1.04,10,7,3,99.7,80,1.29,12,13,-1,86.3,80,1.2,13,7,6,97.9,86.7,1.35,16,10,6,117.7,66.7,1.53,13,8,5,94.9,60,1.26,3,11,-8,39.8,27.3,0.25,1
"7","2020-02-24","broky","FaZe","Natus Vincere","Latvia",18053,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",46,18,52,12,10,66.7,-6,62.9,2,0.93,20,8,14,6,3,88,6,83,1,1.36,15,4,20,2,4,66.7,-5,52.2,0,0.85,11,6,18,4,3,46.2,-7,55.9,1,0.68,27,22,5,71.7,80,1.11,19,30,-11,54.3,53.7,0.75,11,4,7,97.7,100,1.89,9,10,-1,73.1,80,1,7,10,-3,50.7,73.3,0.77,8,10,-2,53.7,60,0.93,9,8,1,75.3,73.3,0.97,2,10,-8,29.5,9.1,0.29,1
"8","2020-02-24","coldzera","FaZe","Natus Vincere","Brazil",9216,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",55,13,53,34,4,72.8,2,76.8,7,1.11,22,6,13,16,2,80,9,90,3,1.45,22,4,19,12,1,83.3,3,85.3,7,1.31,11,3,21,6,1,53.8,-10,54.2,-3,0.6,32,22,10,85.6,85,1.33,23,31,-8,68.1,61,0.9,11,4,7,105.4,90,1.7,11,9,2,79.7,73.3,1.29,12,8,4,88.7,93.3,1.52,10,11,-1,81.9,73.3,1.09,9,10,-1,69.3,73.3,0.92,2,11,-9,33.5,27.3,0.16,1
"9","2020-02-24","olofmeister","FaZe","Natus Vincere","Sweden",885,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",51,9,50,24,3,70.4,1,59.1,6,1,21,2,14,10,0,84,7,75,2,1.34,18,2,18,12,1,70,0,53.1,4,0.98,12,5,18,2,2,57.7,-6,50.6,0,0.73,26,19,7,63,80,1.1,25,31,-6,55.2,61,0.9,5,3,2,56.1,90,1.16,16,11,5,87.6,80,1.46,11,8,3,60.8,80,1.08,7,10,-3,45.5,60,0.88,10,8,2,69.8,73.3,1.09,2,10,-8,24.4,36.4,0.24,1
"10","2020-02-24","rain","FaZe","Natus Vincere","Norway",8183,2339375,4901,"IEM Katowice 2020",3,"Nuke","Dust2","Overpass",46,10,56,31,1,67.9,-10,73.3,-8,0.95,11,5,19,7,0,68,-8,67,-4,0.83,15,3,19,12,1,70,-4,63.9,-3,0.92,20,2,18,12,0,65.4,2,90.2,-1,1.13,29,24,5,81,77.5,1.15,17,32,-15,65.8,58.5,0.75,5,8,-3,80.6,70,0.9,6,11,-5,57.9,66.7,0.78,10,8,2,79.7,86.7,1.21,5,11,-6,48.1,53.3,0.63,14,8,6,82.6,73.3,1.28,6,10,-4,100.6,54.5,0.92,1
